"Day","Mean Area","Area SD","Mean Perimeter","Perimeter SD","Mean Ferets Diameter","Ferets Diameter SD","Mean % Wound Closure","Mean % Wound Closure SD"
"0",23.9742,10.8535630416928,22.961,7.25447765176791,7.0176,1.77008002643948,0,0
"1",24.5396,9.57429158214852,21.9808,5.71045306433736,6.7186,1.43949202846004,7.1609759706651,20.9276548500718
"10",20.2332,11.1217104215134,19.0754,5.30573890235846,6.2122,1.31132478814365,-11.4095913858073,31.5592983272125
"19",8.0144,13.4274372387288,6.8232,9.92342328533858,2.2376,3.2011265673197,-73.5470284854946,37.4439930010964
